,0,1,2,3,4
58,何必館,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/ho-land,粵菜,"灣仔駱克道54-62號博匯大廈4樓, Hong Kong, 香港",page - 3
59,八寶清湯腩,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/eight-treasures,麵食,"天后電氣道124號榮華大廈地下B舖, Hong Kong, 香港",page - 3
60,華姐清湯腩,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/sister-wah-tin-hau,麵食,"天后電氣道13號A1號舖, Hong Kong, 香港",page - 4
61,Andō,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/ando,創新菜,"中環威靈頓街52-54號Somptueux Central 1樓, Hong Kong, 香港",page - 4
62,萬豪金殿,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/man-ho,粵菜,"金鐘金鐘道88號太古廣場JW萬豪酒店3樓, Hong Kong, 香港",page - 4
63,古月,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/ancient-moon,星馬菜,"北角錦屏街29號A舖, Hong Kong, 香港",page - 4
64,勝記,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/sai-kung-sing-kee,海鮮,"西貢西貢大街39號, Hong Kong, 香港",page - 4
65,泉章居 (旺角),https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/chuen-cheung-kui-mong-kok,客家菜,"旺角奶路臣街33號依利大廈E舖, Hong Kong, 香港",page - 4
66,Louise,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/louise,時尚法國菜,"中環鴨巴甸街35號PMQ, Hong Kong, 香港",page - 4
67,國金軒 (尖沙咀),https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/cuisine-cuisine-at-the-mira,粵菜,"尖沙咀彌敦道118號The Mira 3樓, Hong Kong, 香港",page - 4
68,百樂潮州 (希慎道),https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/pak-loh-chiu-chow-hysan-avenue,潮州菜,"銅鑼灣希慎道23-25號, Hong Kong, 香港",page - 4
69,嘉麟樓,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/spring-moon,粵菜,"尖沙咀梳士巴利道半島酒店1樓, Hong Kong, 香港",page - 4
70,Yardbird,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/yardbird,雞肉串燒,"上環永樂街154-158號, Hong Kong, 香港",page - 4
71,Ciak - All Day Italian,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/ciak-all-day-italian,意大利菜,"太古太古城道18號太古城中心2樓265號舖, Hong Kong, 香港",page - 4
72,志魂,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/sushi-shikon,壽司,"中環皇后大道中15號置地文華東方酒店7樓, Hong Kong, 香港",page - 4
73,Arcane,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/arcane,時尚歐陸菜,"中環安蘭街18號3樓, Hong Kong, 香港",page - 4
74,港灣壹號,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/one-harbour-road,粵菜,"灣仔港灣道1號君悅酒店7-8樓, Hong Kong, 香港",page - 4
75,珀翠,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/petrus,法國菜,"金鐘法院道太古廣場港島香格里拉酒店56樓, Hong Kong, 香港",page - 4
76,劉森記麵家 (福榮街),https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/lau-sum-kee-fuk-wing-street,麵食,"深水埗福榮街82號, Hong Kong, 香港",page - 4
77,Caprice,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/caprice,時尚法國菜,"中環金融街8號四季酒店6樓, Hong Kong, 香港",page - 4
78,Owl's,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/owl-s,街頭小吃,"尖沙咀麼地道32號地下, Hong Kong, 香港",page - 4
79,頤東,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/eton,順德菜,"旺角彌敦道749號歐亞銀行大廈1及2樓, Hong Kong, 香港",page - 4
80,好運印尼餐廳,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/lucky-indonesia,印尼菜,"觀塘通明街46號, Hong Kong, 香港",page - 5
